0,-2,-1,-1,1,-1,0,0,0
-1,-3,-2,-2,1,-1,-1,0,0
0,-1,-1,-1,-2,0,0,-1,0
0,1,-1,-4,0,0,-1,0,0
0,-2,-4,-2,-2,-2,-3,-1,0
5,-2,-4,-2,-1,0,0,0,0
-3,1,0,1,0,-1,0,1,0
-1,-3,-1,-1,-1,-1,-1,-2,0
-1,2,0,-1,-2,-1,-2,-1,0
0,-3,1,-1,2,0,-2,-2,0
-1,1,0,-1,-1,2,-1,-1,0
0,-1,-1,0,-1,0,-1,0,0
-1,-1,-2,-1,-1,0,-1,-1,0
-1,-2,-1,-2,-1,-1,-1,-1,0
-3,-1,-2,0,0,-3,0,-1,0
0,-1,-1,0,0,-1,-2,-1,0
-1,-1,0,-1,-1,-1,-1,-1,0
0,6,2,1,-2,1,-1,2,0
-1,0,0,1,-1,-2,0,-2,0
5,-3,-4,0,-1,-1,0,0,0
-1,5,-1,0,0,0,-2,-2,0
-1,-3,-2,-1,-1,-1,2,-2,0
0,0,-2,-2,-2,-1,-1,0,0
-1,0,-2,0,-1,0,-1,0,0
0,-1,0,-1,-1,-1,-1,0,0
0,-2,-2,-2,0,-1,0,0,0
1,2,0,-1,-1,0,1,-1,0
-7,-3,5,1,1,0,1,-2,0
0,-1,0,-1,2,-2,-1,-1,0
0,-3,1,-1,0,0,-2,0,0
-1,0,-1,-2,0,0,0,-1,0
-1,1,-2,-3,-2,-1,-1,1,0
1,-2,-1,0,-1,0,-1,-1,0
-1,-2,-1,2,-1,0,-1,-2,0
0,9,3,-2,1,0,0,-1,0
0,-1,0,1,1,0,-1,-2,0
-1,-1,0,0,-2,-1,2,-1,0
-6,-5,0,-1,-1,-1,-2,0,0
-4,-4,0,1,-1,-1,-1,0,0
0,-10,-2,-3,-2,-1,1,0,0
1,1,-1,-1,-2,-1,-1,0,0
0,-2,-2,-2,-1,1,1,0,0
0,-3,0,-1,0,0,-2,-1,0
-2,-1,-2,-1,-1,-2,0,0,0
1,-3,-3,-1,0,0,0,0,0
-3,-3,1,2,-2,-3,-1,-2,0
1,-4,-4,0,0,0,-2,-2,0
4,7,-1,-3,-3,0,1,-2,0
-4,-2,1,0,-1,0,0,-2,0
2,0,-2,-1,1,-3,0,-1,0
0,-3,0,-1,-1,-1,0,-1,0
2,-1,-2,-1,-1,0,-1,0,0
-1,0,0,0,0,0,-1,-1,0
-1,-1,1,-1,1,-1,1,-1,0
1,-2,0,0,-1,-1,-2,0,0
0,0,0,-1,-3,0,-1,-1,0
1,-7,-4,0,-1,-2,-1,1,0
-3,2,-3,0,-3,0,-2,-1,0
-1,2,-1,2,-1,-2,-1,-1,0
-4,-2,0,1,2,-1,0,-2,0
-1,-1,0,-2,-1,1,0,-1,0
-2,-5,1,-1,1,1,0,0,0
-4,-2,3,0,-1,0,0,1,0
0,2,-3,-2,0,-2,-4,-2,0
-1,-2,1,-2,1,-1,-2,-1,0
2,0,-3,-2,-1,-3,-2,0,0
-1,-2,-1,0,-2,2,-1,-1,0
0,0,0,-1,-2,-2,-1,0,0
-2,-1,-2,0,0,-2,-1,0,0
5,0,-4,-1,-1,0,-1,-2,0
2,-1,-4,-2,1,-1,-1,-1,0
1,-1,-1,0,-1,-1,0,0,0
-1,1,-1,-2,0,-1,0,1,0
2,-1,-2,-2,-2,-1,0,-1,0
2,0,-3,-1,-2,-2,-1,-1,0
-3,7,2,0,0,-1,1,0,0
3,1,-2,0,-2,1,0,0,0
-4,1,0,-1,-1,-1,-1,-1,0
-2,8,1,1,-1,-2,-1,-1,0
-2,-3,-1,-1,0,0,0,-1,0
0,-2,1,1,-1,-3,-2,-1,0
2,-1,-2,0,-1,-1,-1,-2,0
-3,-2,1,-2,1,-1,-1,-1,0
0,-1,-2,-1,0,0,-1,-1,0
-1,1,-1,1,-1,-1,-1,-2,0
1,-2,0,-1,1,-1,0,0,0
1,-2,-3,-1,-1,-1,1,0,0
0,0,-1,1,-2,-1,-2,0,0
3,-12,-5,-2,-2,0,-2,-1,0
-3,2,0,-1,-2,0,1,-1,0
0,-3,-2,-1,-1,0,0,-1,0
0,-1,-1,0,0,0,1,-1,0
0,0,-2,0,1,-2,-1,-1,0
-1,-1,-1,-1,-1,-1,0,0,0
-1,5,2,0,-3,-1,-2,0,0
-1,-3,-2,-1,-1,2,-1,0,0
-6,0,3,1,0,2,1,-1,0
-1,2,1,0,-1,1,-1,-2,0
-1,-2,-3,0,1,0,-1,-3,0
-2,-1,-1,0,-1,-1,-1,-1,0
0,3,-1,-2,1,0,0,0,0
-1,-2,-1,-1,0,1,-2,0,0
0,-2,-1,-1,-1,0,1,0,0
2,-6,-4,-3,-1,-1,-1,-2,0
1,4,1,-1,-3,0,-1,-1,0
-3,-3,-1,0,-1,-2,-1,-1,0
1,-2,-3,-1,0,-2,0,-1,0
0,-1,-2,1,0,-1,0,-2,0
-2,1,1,0,0,-1,0,0,0
2,-1,-1,0,-3,-1,1,0,0
-1,6,3,1,0,3,-1,-3,0
2,1,-2,-1,0,0,-1,1,0
1,-1,-3,0,-1,-2,-1,-1,0
0,-1,0,1,-1,0,-2,-2,0
0,-3,0,-2,-2,-1,-2,0,0
1,0,0,-1,-2,0,0,-1,0
0,0,-3,-1,-1,-1,1,-1,0
0,0,-1,0,0,1,1,2,0
0,-2,-2,-1,-1,-1,0,1,0
-4,2,2,0,-2,-2,0,-1,0
0,-1,0,-1,-1,-2,-1,0,0
-3,0,1,0,1,0,0,-2,0
-2,-3,1,-1,1,1,-1,1,0
-2,0,-1,-1,0,-2,0,-1,0
-1,-1,-1,-1,-1,-1,-3,-2,0
1,0,-1,-1,-2,0,0,0,0
